vd;V(vo1);V(vo1)-V(vo2);V(vo2)
-3.859999999999995e-001;5.814586e+000;4.729273e+000;1.085312e+000
-3.839999999999995e-001;5.807162e+000;4.714445e+000;1.092716e+000
-3.819999999999995e-001;5.799591e+000;4.699324e+000;1.100267e+000
-3.799999999999995e-001;5.791877e+000;4.683917e+000;1.107960e+000
-3.779999999999995e-001;5.784022e+000;4.668229e+000;1.115793e+000
-3.759999999999995e-001;5.776029e+000;4.652265e+000;1.123764e+000
-3.739999999999994e-001;5.767900e+000;4.636032e+000;1.131868e+000
-3.719999999999994e-001;5.759640e+000;4.619536e+000;1.140105e+000
-3.699999999999994e-001;5.751251e+000;4.602781e+000;1.148469e+000
-3.679999999999994e-001;5.742735e+000;4.585776e+000;1.156959e+000
-3.659999999999994e-001;5.734097e+000;4.568525e+000;1.165572e+000
-3.639999999999994e-001;5.725338e+000;4.551034e+000;1.174304e+000
-3.619999999999994e-001;5.716462e+000;4.533308e+000;1.183154e+000
-3.599999999999994e-001;5.707471e+000;4.515354e+000;1.192116e+000
-3.579999999999994e-001;5.698369e+000;4.497178e+000;1.201191e+000
-3.559999999999994e-001;5.689157e+000;4.478784e+000;1.210373e+000
-3.539999999999994e-001;5.679840e+000;4.460178e+000;1.219661e+000
-3.519999999999994e-001;5.670418e+000;4.441366e+000;1.229053e+000
-3.499999999999994e-001;5.660896e+000;4.422352e+000;1.238544e+000
-3.479999999999994e-001;5.651276e+000;4.403142e+000;1.248133e+000
-3.459999999999994e-001;5.641560e+000;4.383742e+000;1.257818e+000
-3.439999999999994e-001;5.631750e+000;4.364154e+000;1.267595e+000
-3.419999999999994e-001;5.621849e+000;4.344386e+000;1.277463e+000
-3.399999999999994e-001;5.611860e+000;4.324441e+000;1.287419e+000
-3.379999999999994e-001;5.601785e+000;4.304324e+000;1.297461e+000
-3.359999999999994e-001;5.591625e+000;4.284039e+000;1.307586e+000
-3.339999999999994e-001;5.581384e+000;4.263591e+000;1.317793e+000
-3.319999999999994e-001;5.571063e+000;4.242984e+000;1.328079e+000
-3.299999999999994e-001;5.560664e+000;4.222221e+000;1.338442e+000
-3.279999999999994e-001;5.550189e+000;4.201309e+000;1.348881e+000
-3.259999999999994e-001;5.539641e+000;4.180248e+000;1.359393e+000
-3.239999999999994e-001;5.529021e+000;4.159045e+000;1.369976e+000
-3.219999999999994e-001;5.518331e+000;4.137702e+000;1.380629e+000
-3.199999999999994e-001;5.507573e+000;4.116223e+000;1.391350e+000
-3.179999999999994e-001;5.496748e+000;4.094612e+000;1.402136e+000
-3.159999999999994e-001;5.485859e+000;4.072871e+000;1.412987e+000
-3.139999999999994e-001;5.474906e+000;4.051005e+000;1.423901e+000
-3.119999999999994e-001;5.463893e+000;4.029017e+000;1.434876e+000
-3.099999999999994e-001;5.452819e+000;4.006908e+000;1.445911e+000
-3.079999999999994e-001;5.441687e+000;3.984683e+000;1.457003e+000
-3.059999999999994e-001;5.430497e+000;3.962344e+000;1.468153e+000
-3.039999999999994e-001;5.419253e+000;3.939896e+000;1.479357e+000
